year,pub_year,article,id,ncit,pr
2013,1964,10.1103/PhysRevLett.13.508,363616,187,0.000114587847
2013,1964,10.1103/PhysRevLett.13.321,363841,187,0.000193379681
2012,1996,10.1103/PhysRevLett.77.4887,411973,314,1.897369e-05
2012,1996,10.1103/PhysRevLett.76.1796,409814,222,1.3544717e-05
2011,1984,10.1103/PhysRevLett.53.1951,386761,654,0.00012958476
2008,1961,10.1103/PhysRev.122.345,7439,903,0.000538161101
2007,1988,10.1103/PhysRevLett.61.2472,393982,843,0.000133579417
2007,1986,10.1103/PhysRevLett.57.2442,390112,388,9.162247900000001e-05
2005,2000,10.1103/PhysRevLett.84.5102,422458,50,5.199453999999999e-06
2005,2000,10.1103/PhysRevLett.84.3232,421912,20,3.147024e-06
2005,1963,10.1103/PhysRevLett.10.84,362860,173,0.000450422342
2004,1973,10.1103/PhysRevLett.30.1343,373261,489,0.000236892493
2004,1973,10.1103/PhysRevLett.30.1346,373262,529,0.000232381348
2003,1972,10.1103/PhysRevLett.29.1227,372343,33,2.328569e-05
2002,1968,10.1103/PhysRevLett.20.1205,367203,118,3.2870789e-05
2002,1987,10.1103/PhysRevLett.58.1490,390863,203,3.8271918e-05
2002,1962,10.1103/PhysRevLett.9.439,431056,11,1.4956718000000001e-05
2001,1995,10.1103/PhysRevLett.75.3969,409065,1214,0.000151727212
1998,1982,10.1103/PhysRevLett.48.1559,383318,640,0.00012535241900000002
1998,1965,10.1103/PhysRev.140.A1133,15154,4757,0.000649199119
1998,1983,10.1103/PhysRevLett.50.1395,384607,994,0.00013914489400000001
1997,1985,10.1103/PhysRevLett.55.48,388015,89,6.963603100000001e-05
1997,1988,10.1103/PhysRevLett.61.826,394302,179,3.3358137e-05
1997,1988,10.1103/PhysRevLett.61.169,393904,107,4.5832289e-05
1996,1972,10.1103/PhysRevLett.28.885,371629,60,3.7109000999999996e-05
1995,1975,10.1103/PhysRevLett.35.1489,375790,181,3.6628077e-05
